period,scenario,subscenario,subperiod,ThermalA_01 - Eastern,ThermalA_01 - Western,PortfolioA_01 - Eastern,PortfolioA_01 - Western,PortfolioA_02 - Eastern,PortfolioA_02 - Western,PricetakerA_01 - Eastern,PricetakerA_01 - Western,SelfproducerA_01 - Eastern,SelfproducerA_01 - Western,UpstreamA_01 - Eastern,UpstreamA_01 - Western,DownstreamA_01 - Eastern,DownstreamA_01 - Western
2,2,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,2,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,2,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,2,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,2,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,3,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,3,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,97.63115692138672,0.0,209.20962524414062,0.0
2,3,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
2,3,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,195.26231384277344,0.0,195.26231384277344,0.0
3,1,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,1,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,1,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,1,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,1,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,2,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,2,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,2,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,2,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,3,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,3,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,95.31842803955078,0.0,204.2537841796875,0.0
3,3,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
3,3,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,190.63685607910156,0.0,190.63685607910156,0.0
4,1,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,1,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,1,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,1,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,1,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,2,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,2,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,2,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,2,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,1,1,22000.0,0.0,11200.0009765625,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,1,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,1,3,22000.0,0.0,35200.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,2,1,22000.0,0.0,14400.001953125,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,2,2,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,2,3,22000.0,0.0,40000.0,0.0,0.0,0.0,0.0,52800.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,3,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,3,3,2,7600.0185546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,3,3,3,22000.0,0.0,16000.0,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,4,1,19600.015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,93.06048583984375,0.0,199.4153289794922,0.0
4,3,4,2,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
4,3,4,3,22000.0,0.0,35200.03515625,0.0,0.0,0.0,0.0,4800.0556640625,10000.0,0.0,186.1209716796875,0.0,186.1209716796875,0.0
5,1,1,1,1760.0023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,1,3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.9326171875,4000.0,0.0,0.0,0.0,0.0,0.0
5,1,2,1,1760.0023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,2,3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.9326171875,4000.0,0.0,0.0,0.0,0.0,0.0
5,1,3,1,159.99684143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,3,3,1359.9991455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,4,1,159.99684143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1,4,3,1359.9991455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,1,1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085602760314941,0.0,9.085602760314941,0.0
5,2,1,2,320.0046691894531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085602760314941,0.0,9.085602760314941,0.0
5,2,1,3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.9326171875,4000.0,0.0,45.428016662597656,0.0,3.8938300609588623,0.0
5,2,2,1,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.023193359375,0.0,45.428016662597656,0.0,45.428016662597656,0.0
5,2,2,2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.428016662597656,0.0,45.428016662597656,0.0
5,2,2,3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.9326171875,4000.0,0.0,45.428016662597656,0.0,45.428016662597656,0.0
5,2,3,1,159.99684143066406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,3,3,1359.9991455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2,4,1,1519.99365234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085602760314941,0.0,9.085602760314941,0.0
5,2,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085602760314941,0.0,9.085602760314941,0.0
5,2,4,3,1359.9991455078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.085602760314941,0.0,9.085602760314941,0.0
5,3,1,1,22000.0,0.0,27200.046875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,181.71205139160156,0.0,181.71205139160156,0.0
5,3,1,2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0116577148438,0.0,1135.7003173828125,0.0,45.428016662597656,0.0
5,3,1,3,22000.0,0.0,32000.0,0.0,0.0,0.0,0.0,4799.9326171875,10000.0,0.0,181.71205139160156,0.0,181.71205139160156,0.0
5,3,2,1,22000.0,0.0,27200.046875,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,181.71205139160156,0.0,181.71205139160156,0.0
5,3,2,2,7600.0234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,817.7042846679688,0.0,90.85603332519531,0.0
5,3,2,3,22000.0,0.0,32000.0,0.0,0.0,0.0,0.0,4799.9326171875,10000.0,0.0,181.71205139160156,0.0,181.71205139160156,0.0
5,3,3,1,21199.958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,90.85603332519531,0.0,90.85603332519531,0.0
5,3,3,2,559.996826171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,663.2490234375,0.0,9.085602760314941,0.0
5,3,3,3,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,90.85603332519531,0.0,90.85603332519531,0.0
5,3,4,1,21199.958984375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,90.85603332519531,0.0,90.85603332519531,0.0
5,3,4,2,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.984375,0.0,408.8521423339844,0.0,45.428016662597656,0.0
5,3,4,3,22000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,90.85603332519531,0.0,90.85603332519531,0.0
6,1,1,1,1760.0023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1,1,3,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,4799.9326171875,4000.0,0.0,0.0,0.0,0.0,0.0
6,1,2,1,1760.0023193359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
